Title,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price,Discounted_price,Brand,screen_inches,screen_res,screen_touch,CPU,disk_hdd,disk_ssd,disk_flash,disk_emmc,GPU,OS,is_discounted,Price_int,Shop
Laptop HP 15S-FQ1102NW i3-1005G1 8GB 256GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i3-1005G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home,2 599,2 299,hp,15.6,1920x1080,0,i3,0,256,0,0,integrated,windows,1,2299,mediaexpert
Laptop ASUS VivoBook 15 A512JA i5-1035G1 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home,3 499,2 999,asus,15.6,1920x1080,0,i5,0,512,0,0,integrated,windows,1,2999,mediaexpert
Laptop ACER Aspire 1 N4020 4GB 128GB eMMC W10,"14"", 1366 x 768px",Intel Celeron N4020,4,128 GB Flash,Zintegrowana,Windows 10 Home,1 599,1 399,acer,14.0,1366x768,0,celeron,0,0,128,0,other,windows,1,1399,mediaexpert
Laptop HP Pavilion 15-CS3029NW i5-1035G1 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home,,3 199,hp,15.6,1920x1080,0,i5,0,512,0,0,integrated,windows,0,3199,mediaexpert
Laptop ACER Aspire 3 Athlon 3050U 4GB 256GB SSD W10,"15.6"", 1920 x 1080px",AMD Athlon Silver 3050U,4,256 GB SSD,AMD Radeon Graphics,Windows 10 Home,2 199,1 699,acer,15.6,1920x1080,0,athlon,0,256,0,0,integrated,windows,1,1699,mediaexpert
Laptop ASUS A509JA i5-1035G1 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home,,2 699,asus,15.6,1920x1080,0,i5,0,512,0,0,integrated,windows,0,2699,mediaexpert
Laptop ASUS TUF Gaming FX705DT Ryzen 5 3550H 8GB 512GB SSD GF-GTX 1650 W10,"17.3"", 1920 x 1080px",AMD Ryzen 5 3550H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,,3 999,asus,17.3,1920x1080,0,ryzen 5,0,512,0,0,geforce gtx,windows,0,3999,mediaexpert
Laptop ACER Spin 1 N4000 4GB 64GB eMMC W10S,"11.6"", 1920 x 1080px, Dotykowy",Intel Celeron N4000,4,64 GB Flash,Intel UHD Graphics 600,Windows 10 S,1 799,1 599,acer,11.6,1920x1080,1,celeron,0,0,64,0,integrated,windows,1,1599,mediaexpert
Laptop ACER Aspire 7 i7-8705G 8GB 512GB SSD,"15.6"", 1920 x 1080px",Intel Core i7-8705G,8,512 GB SSD,Radeon RX Vega M GL,Windows 10 Home,4 899,3 999,acer,15.6,1920x1080,0,i7,0,512,0,0,radeon rx,windows,1,3999,mediaexpert
Laptop MICROSOFT Surface Go 2 8GB 128GB SSD W10S + klawiatura Cover,"10.5"", 1920 x 1080px, Ekran dotykowy",Intel Pentium Gold 4425Y,8,128 GB SSD,Intel UHD Graphics 615,Windows 10 S,,3 349,microsoft,10.5,1920x1080,1,pentium,0,128,0,0,integrated,windows,0,3349,mediaexpert
Laptop ACER Aspire 7 Ryzen 5 3550H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 3550H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,3 999,3 499,acer,15.6,1920x1080,0,ryzen 5,0,512,0,0,geforce gtx,windows,1,3499,mediaexpert
Laptop MICROSOFT Surface Pro 7 i3-1005G1 4GB 128GB SSD W10 + klawiatura Cover,"12.3"", 2736 x 1824px, Dotykowy",Intel Core i3-1005G1,4,128 GB SSD,Intel UHD Graphics,Windows 10 Home,4 499,4 299,microsoft,12.3,2736x1824,1,i3,0,128,0,0,integrated,windows,1,4299,mediaexpert
