Title,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price,Discounted_price
Laptop HP 15S-FQ1102NW i3-1005G1 8GB 256GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i3-1005G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home,2 599,2 299
Laptop ASUS VivoBook 15 A512JA i5-1035G1 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home,3 499,2 999
Laptop ACER Aspire 1 N4020 4GB 128GB eMMC W10,"14"", 1366 x 768px",Intel Celeron N4020,4,128 GB Flash,Zintegrowana,Windows 10 Home,1 599,1 399
Laptop HP Pavilion 15-CS3029NW i5-1035G1 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home,,3 199
Laptop ACER Aspire 3 Athlon 3050U 4GB 256GB SSD W10,"15.6"", 1920 x 1080px",AMD Athlon Silver 3050U,4,256 GB SSD,AMD Radeon Graphics,Windows 10 Home,2 199,1 699
Laptop ASUS A509JA i5-1035G1 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home,,2 699
Laptop ASUS TUF Gaming FX705DT Ryzen 5 3550H 8GB 512GB SSD GF-GTX 1650 W10,"17.3"", 1920 x 1080px",AMD Ryzen 5 3550H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,,3 999
Laptop ACER Spin 1 N4000 4GB 64GB eMMC W10S,"11.6"", 1920 x 1080px, Dotykowy",Intel Celeron N4000,4,64 GB Flash,Intel UHD Graphics 600,Windows 10 S,1 799,1 599
Laptop ACER Aspire 7 i7-8705G 8GB 512GB SSD,"15.6"", 1920 x 1080px",Intel Core i7-8705G,8,512 GB SSD,Radeon RX Vega M GL,Windows 10 Home,4 899,3 999
Laptop MICROSOFT Surface Go 2 8GB 128GB SSD W10S + klawiatura Cover,"10.5"", 1920 x 1080px, Ekran dotykowy",Intel Pentium Gold 4425Y,8,128 GB SSD,Intel UHD Graphics 615,Windows 10 S,,3 349
Laptop ACER Aspire 7 Ryzen 5 3550H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 3550H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,3 999,3 499
Laptop MICROSOFT Surface Pro 7 i3-1005G1 4GB 128GB SSD W10 + klawiatura Cover,"12.3"", 2736 x 1824px, Dotykowy",Intel Core i3-1005G1,4,128 GB SSD,Intel UHD Graphics,Windows 10 Home,4 499,4 299
Laptop HUAWEI MateBook 13 i5-10210U 8GB 512GB SSD W10,"13"", 2160 x 1440px",Intel Core i5-10210U,8,512 GB SSD,Intel UHD Graphics 620,Windows 10 Home,3 999,3 499
Laptop ACER Aspire 3 i3-8130U 4GB 256GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i3-8130U,4,256 GB SSD,Intel UHD Graphics 620,Windows 10 Home,2 499,1 999
Laptop ACER Aspire 3 i3-8130U 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i3-8130U,8,512 GB SSD,Intel UHD Graphics 620,Windows 10 Home,2 799,2 399
Laptop ASUS VivoBook 15 A512DA 3500U 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 3500U,8,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home,,2 499
APPLE MacBook Air i3-1000NG4 8GB 256GB SSD macOS,"13.3"", 2560 x 1600px",Intel Core i3-1000NG4,8,256 GB SSD,Intel Iris Plus Graphics,macOS Catalina,,4 849
Laptop HP Stream 14-DS0005NW A4-9120E 4GB 64GB eMMC W10S,"14"", 1366 x 768px",AMD A4-9120e,4,64 GB Flash,AMD Radeon R3,Windows 10 S,,1 299
Laptop LENOVO IdeaPad 3 15ADA05 Ryzen 5 3500U 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 3500U,8,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home,2 899,2 499
Laptop ACER Predator Helios 300 i7-9750H 16GB 512GB GF-RTX 2060 W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,512 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,,5 999
Laptop LENOVO IdeaPad 3 Ryzen 3 3250U 4GB 256GB SSD DOS,"17.3"", 1600 x 900px",AMD Ryzen 3 3250U,4,256 GB SSD,AMD Radeon Graphics,Brak,2 299,1 849
Laptop ACER Aspire 7 Ryzen 5 3550H 8GB 512GB SSD GF-GTX 1650 DOS,"15.6"", 1920 x 1080px",AMD Ryzen 5 3550H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,3 799,2 999
Laptop ACER Nitro 5 i5-10300H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,4 399,3 999
Laptop ASUS A509JA i3-1005G1 4GB 256GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i3-1005G1,4,256 GB SSD,Intel UHD Graphics,Windows 10 Home,2 599,2 199
Laptop ACER Nitro 5 i5-9300H 16GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",Intel Core i5-9300H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,,3 949
Laptop ASUS E410MA N4020 4GB 64GB eMMC W10S,"14"", 1920 x 1080px",Intel Celeron N4020,4,64 GB SSD,Intel UHD Graphics 600,Windows 10 S,,1 299
Laptop ACER TravelMate X5 i5-8265U 8GB 512GB SSD WINDOWS 10 PRO,"14"", 1920 x 1080px",Intel Core i5-8265U,8,512 GB SSD,Intel UHD Graphics 620,Windows 10 Professional,,4 199
Laptop DELL Inspiron 15 5501 i5-1035G1 8GB 512GB SSD GF-MX 330 W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,NVIDIA GeForce MX330,Windows 10 Home,4 499,3 999
Laptop DELL Inspiron 15 3593 i5-1035G1 8GB 512GB SSD W10P,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Professional,,3 099
Laptop ASUS A509JA-EJ646 i3-1005G1 4GB 256GB SSD DOS,"15.6"", 1920 x 1080px",Intel Core i3-1005G1,4,256 GB SSD,Intel UHD Graphics,Brak,,2 299
Laptop DELL G3 15 3500 i5-10300H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,,4 399
Laptop ASUS VivoBook 15 A509DA Ryzen 5 3500U 4GB 256GB SSD W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 3500U,4,256 GB SSD,AMD Radeon Vega 8,Windows 10 Home,,2 299
Laptop ACER Nitro 5 i5-10300H 8GB 512GB SSD GF-GTX 1650 DOS,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,3 999,3 499
Laptop ACER Nitro 5 i5-9300H 8GB 512GB SSD GF-GTX 1050 W10,"17.3"", 1920 x 1080px",Intel Core i5-9300H,8,512 GB SSD,NVIDIA GeForce GTX 1050,Windows 10 Home,,4 199
Laptop HP Pavilion Gaming 15-EC0047NW Ryzen 5 3550H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 3550H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,,3 699
Laptop ACER Nitro 5 Ryzen 5 4600H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 4600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,3 899,3 599
Laptop DELL Inspiron 15 3582 N5000 4GB 1000GB W10,"15.6"", 1366 x 768px",Intel Pentium N5000,4,1000 GB HDD,Intel UHD Graphics 605,Windows 10 Home,,1 990
Laptop DELL Inspiron 5491 i5-10210U 8GB 512GB SSD W10,"14"", 1920 x 1080px, Dotykowy",Intel Core i5-10210U,8,512 GB SSD,Intel UHD Graphics 620,Windows 10 Home,,3 799
Laptop ACER Swift 3 (NX.GQGEP.006) i5-8250U 4GB 256GB SSD W10,"14"", 1920 x 1080px",Intel Core i5-8250U,4,256 GB SSD,Intel UHD Graphics 620,Windows 10 Home,,2 799
Laptop LENOVO IdeaPad 3 i5-1035G1 8GB 512GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home,,2 999
Laptop LENOVO IdeaPad 5 14ARE05 Ryzen 7 4700U 16GB 512GB SSD W10,"14"", 1920 x 1080px",AMD Ryzen 7 4700U,16,512 GB SSD,AMD Radeon Graphics,Windows 10 Home,4 099,3 799
Laptop ACER Swift 1 N4000 4GB 64GB eMMC W10,"14"", 1920 x 1080px",Intel Celeron N4000,4,64 GB Flash,Intel UHD Graphics 600,Windows 10 Home,,1 449
Laptop ACER Aspire 3 i3-8130U 8GB 256GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i3-8130U,8,256 GB SSD,Intel HD Graphics 620,Windows 10 Home,2 699,2 299
Laptop ACER Nitro 5 Ryzen 5 4600H 8GB 512GB SSD GF-GTX 1650 DOS,"15.6"", 1920 x 1080px",AMD Ryzen 5 4600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,3 999,3 399
Laptop ACER Nitro 5 i5-9300H 8GB 512GB SSD GF-GTX 1650 DOS,"15.6"", 1920 x 1080px",Intel Core i5-9300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,,3 899
Laptop LENOVO Legion Y540-15IRH i7-9750H 8GB 256GB SSD GF-GTX 1660Ti W10,"15.6"", 1920 x 1080px",Intel Core i7-9750HF,8,256 GB SSD,NVIDIA GeForce GTX 1660 Ti,Windows 10 Home,,4 999
APPLE MacBook Air i3-1000NG4 8GB 256GB SSD macOS,"13.3"", 2560 x 1600px",Intel Core i3-1000NG4,8,256 GB SSD,Intel Iris Plus Graphics,macOS Catalina,4 999,4 849
Laptop DELL Inspiron 15 3593 i3-1005G1 8GB 256GB SSD W10P,"15.6"", 1920 x 1080px",Intel Core i3-1005G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional,,2 599
Laptop LENOVO Slim 1-14AST-05 A6-9220e 4GB 256GB SSD W10S,"14"", 1920 x 1080px",AMD A6-9220e,4,256 GB SSD,AMD Radeon R4,Windows 10 S,,1 793
Laptop HUAWEI MateBook 13 Ryzen 5 3500U 8GB 512GB SSD W10,"13"", 2160 x 1440px",AMD Ryzen 5 3500U,8,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home,,3 199
Laptop LENOVO IdeaPad 3 Ryzen 3 3250U 4GB 256GB SSD W10,"17.3"", 1600 x 900px",AMD Ryzen 3 3250U,4,256 GB SSD,AMD Radeon Graphics,Windows 10 Home,2 749,2 349
Laptop LENOVO Legion Y740-15IRHg i7-9750H 16GB 512GB SSD GF-RTX 2070 Max-Q W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,512 GB SSD,NVIDIA GeForce RTX 2070 Max-Q,Windows 10 Home,,7 229
Laptop ACER Aspire 7 i5-9300H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",Intel Core i5-9300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,4 199,3 699
Laptop LENOVO Legion Y540-15IRH i7-9750H 8GB 256GB SSD GF-GTX 1660Ti DOS,"15.6"", 1920 x 1080px",Intel Core i7-9750H,8,256 GB SSD,NVIDIA GeForce GTX 1660 Ti,Brak,4 449,4 149
Laptop LENOVO V15-ADA Ryzen 5 3500U 8GB 256GB SSD W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 3500U,8,256 GB SSD,AMD Radeon Vega 8,Windows 10 Home,,2 899
Laptop DELL Inspiron G5 5590 i7-9750H 8GB 1000GB 256GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,8,1000 GB HDD + 256 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,,4 999
Laptop LENOVO Legion Y540-15IRH i7-9750H 8GB 512GB SSD GF-RTX 2060 W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,8,512 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,5 299,4 999
Laptop DELL Inspiron 15 3593 i7-1065G7 8GB 512GB SSD GF-MX230 W10,"15.6"", 1920 x 1080px",Intel Core i7-1065G7,8,512 GB SSD,NVIDIA GeForce MX230,Windows 10 Home,,3 799
