Title,Brand,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price
"Lenovo Legion Y540-15IRH-PG0 15,6"" Intel® Core™ i5-9300HF - 8GB RAM - 512GB Dysk - GTX1650 Grafika - W10",Lenovo,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300HF 2,4 - 4,1 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650,Windows 10 Home Edition,"4 199 z?
		
		
				Lepiej jak jest hotdeal
			
		
						Pula kodów zosta?a wyczerpana
					
				
	
			
		
		
			
					Promocja zako?czona"
"HP Pavilion Gaming 15-dk0051nw 15,6"" Intel® Core™ i5-9300H - 8GB RAM - 512GB Dysk - GTX1650 Grafika - Win10",HP,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300H 2,4 - 4,1 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 + Intel UHD Graphics 630,Windows 10 Home Edition,"3 499 z?
		
		
				Lepiej jak jest hotdeal
			
		
						Pula kodów zosta?a wyczerpana
					
				
	
			
		
		
			
					Promocja zako?czona"
"HP Pavilion Gaming 15-ec0039nw 15,6"" AMD Ryzen 7 3750H - 8GB RAM - 512GB Dysk - GTX1660Ti Max-Q Grafika",HP,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 7 3750H 2,3 - 4,0 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1660 Ti Max-Q + AMD Radeon Vega 10,,"3 499 z?
			
				
					3 999 z?
				Taniej o 500 z?
		
		
				Lepiej jak jest hotdeal
			
		
					Cena z kodem: HOT192
			
	
			(obowi?zuje do 03.09.2020 do 23:45)
				
	
	 Dodaj do koszyka produkt obj?ty promocj? w konkretnym etapie. Kod rabatowy naliczy si? automatycznie w koszyku. Kod nie ??czy si? z innymi kodami rabatowymi. 
42 Etap Promocji obowi?zuje od 3.09.2020 od godz. 00:01 do 3.09.2020 do godz. 23:45 lub do wyczerpania liczby Produktów Promocyjnych przeznaczonej dla Etapu. Promocja obowi?zuje od 24.07.2020 od godz. 14:00 do 27.10.2020 do godz. 23:45. Szczegó?y w regulaminie i na stronie promocji. 

	
			
		
		
			Pozosta?o jeszcze 17 sztuk"
"Lenovo Legion 5 15ARH05 15,6"" 120Hz AMD Ryzen 5 4600H - 16GB RAM - 512GB Dysk - GXT1650 Grafika - Win10",Lenovo,"15,6 cala,  1920 x 1080 pikseli 120 Hz","AMD Ryzen™ 5 4600H 3,0 - 4,0 GHz",16 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 + AMD Radeon Graphics,Windows 10 Home Edition,"3 999 z?
			
				
					4 399 z?
				Taniej o 400 z?
		
		
				Lepiej jak jest hotdeal
			
		
					Cena z kodem: HOT192
			
	
			(obowi?zuje do 03.09.2020 do 23:45)
				
	
	 Dodaj do koszyka produkt obj?ty promocj? w konkretnym etapie. Kod rabatowy naliczy si? automatycznie w koszyku. Kod nie ??czy si? z innymi kodami rabatowymi. 
42 Etap Promocji obowi?zuje od 3.09.2020 od godz. 00:01 do 3.09.2020 do godz. 23:45 lub do wyczerpania liczby Produktów Promocyjnych przeznaczonej dla Etapu. Promocja obowi?zuje od 24.07.2020 od godz. 14:00 do 27.10.2020 do godz. 23:45. Szczegó?y w regulaminie i na stronie promocji. 

	
			
		
		
			Pozosta?o jeszcze 16 sztuk"
"Lenovo Legion Y540-15IRH 15,6"" Intel® Core™ i7-9750HF - 8GB RAM - 512GB Dysk - RTX2060 Grafika",Lenovo,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i7 9gen 9750HF 2,6 - 4,5 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce RTX 2060,,"4 899 z?
		
		
				Lepiej jak jest hotdeal
			
		
						Pula kodów zosta?a wyczerpana
					
				
	
			
		
		
			
					Promocja zako?czona"
"ASUS X509JA-EJ073T 15,6"" Intel® Core™ i3-1005G1 - 8GB RAM - 512GB Dysk - Win10",ASUS,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i3 10gen 1005G1 1,2 - 3,4 GHz",8 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,2 299 z?
"ASUS ROG Strix G G531GV-AL172T 15,6"" Intel® Core™ i7-9750H - 16GB RAM - 1TB SSD Dysk - RTX2060 Grafika - Win10",ASUS,"15,6 cala,  1920 x 1080 pikseli 120 Hz","Intel® Core™ i7 9gen 9750H 2,6 - 4,5 GHz",16 GB RAM,1 TB SSD,nVidia® GeForce RTX 2060 + Intel UHD Graphics 630,Windows 10 Home Edition,6 599 z?
"Lenovo IdeaPad S540-14IML 81NF00D9PB 14"" Intel® Core™ i7-10510U - 8GB RAM - 512GB Dysk - Win10",Lenovo,"14 cali,  1920 x 1080 pikseli","Intel® Core™ i7 10gen 10510U 1,8 - 4,9 GHz",8 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,3 499 z?
"Lenovo Legion Y540-17IRH 17,3"" Intel® Core™ i7-9750H - 8GB RAM - 256GB Dysk - RTX2060 Grafika - Win10",Lenovo,"17,3 cala,  1920 x 1080 pikseli","Intel® Core™ i7 9gen 9750H 2,6 - 4,5 GHz",8 GB RAM,256 GB SSD,nVidia® GeForce RTX 2060 + Intel UHD Graphics 630,Windows 10 Home Edition,5 799 z?
,Apple,"13,3 cala,  1440 x 900 pikseli","Intel® Core™ i5 5gen 5360U 1,8 - 2,9 GHz",8 GB RAM,128 GB SSD,Intel® HD Graphics 6000,Mac OS X Sierra,3 799 z?
